Bepaling,Materiaal,REFERENCE_UNIT,LIS,LIS_adjusted,loinc,LONG_COMMON_NAME,lab_naam
PO2 - BLOEDGAS GEM. VEN. (AMC),Bloed,kPa,DPO2-BL_MVEN,DPO2-BL_MVEN,19211-2,Oxygen [Partial pressure] in Mixed venous blood,AMC LAB LABTRAIN
PO2 KPA,Bloed,kPa,K_PO2P_GEMVEN,K_PO2P_GEMVEN,19211-2,Oxygen [Partial pressure] in Mixed venous blood,VUMC LAB GLIMS
PO2 KPA,,kPa,K_PO2P_GEMVEN,K_PO2P_GEMVEN,19211-2,Oxygen [Partial pressure] in Mixed venous blood,VUMC LAB GLIMS
PO2 KPA,Bloed,kPa,P_PO2P_GEMVEN,P_PO2P_GEMVEN,19211-2,Oxygen [Partial pressure] in Mixed venous blood,VUMC LAB GLIMS
PO2 KPA,,kPa,P_PO2P_GEMVEN,P_PO2P_GEMVEN,19211-2,Oxygen [Partial pressure] in Mixed venous blood,VUMC LAB GLIMS
PO2 - BLOEDGAS NV. VEN. (AMC),Bloed,kPa,CPO2-BL_NVE,CPO2-BL_NVE,2705-2,Oxygen [Partial pressure] in Venous blood,AMC LAB LABTRAIN
PO2 - BLOEDGAS VEN. (AMC),Bloed,kPa,CPO2-BL_VEN,CPO2-BL_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,AMC LAB LABTRAIN
PO2 - BLOEDGAS VEN. (AMC),Bloed,kPa,DPO2-BL_VEN,DPO2-BL_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,AMC LAB LABTRAIN
PO2 - BLOEDGAS VEN. (AMC),,kPa,DPO2-BL_VEN,DPO2-BL_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,AMC LAB LABTRAIN
PO2 KPA,Bloed,kPa,K_PO2P_VEN,K_PO2P_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,VUMC LAB GLIMS
PO2 KPA,Bloedgas,kPa,K_PO2P_VEN,K_PO2P_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,VUMC LAB GLIMS
PO2 KPA,,kPa,K_PO2P_VEN,K_PO2P_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,VUMC LAB GLIMS
PO2 KPA,Bloed,kPa,P_PO2P_VEN,P_PO2P_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,VUMC LAB GLIMS
PO2 KPA,,kPa,P_PO2P_VEN,P_PO2P_VEN,2705-2,Oxygen [Partial pressure] in Venous blood,VUMC LAB GLIMS
O2-CONTENT ART. VUMC,Bloed,mL/dL,K_O2CO_ART,K_O2CO_ART,59274-1,Oxygen content in Arterial blood by calculation,VUMC LAB GLIMS
O2-CONTENT ART. VUMC,Bloedgas,mL/dL,K_O2CO_ART,K_O2CO_ART,59274-1,Oxygen content in Arterial blood by calculation,VUMC LAB GLIMS
O2-CONTENT ART. VUMC,Bloed,mL/dL,P_O2CO_ART,P_O2CO_ART,59274-1,Oxygen content in Arterial blood by calculation,VUMC LAB GLIMS
O2-CONTENT ART. VUMC,,mL/dL,P_O2CO_ART,P_O2CO_ART,59274-1,Oxygen content in Arterial blood by calculation,VUMC LAB GLIMS
O2-CONTENT,Bloed,mL/dL,K_O2CO_HB,K_O2CO_HB,57800-5,Oxygen content in Blood by calculation,VUMC LAB GLIMS
O2-CONTENT,,mL/dL,K_O2CO_HB,K_O2CO_HB,57800-5,Oxygen content in Blood by calculation,VUMC LAB GLIMS
O2-CONTENT POCT,Bloed,mL/dL,P_O2CO_HB,P_O2CO_HB,57800-5,Oxygen content in Blood by calculation,VUMC LAB GLIMS
O2-CONTENT POCT,,mL/dL,P_O2CO_HB,P_O2CO_HB,57800-5,Oxygen content in Blood by calculation,VUMC LAB GLIMS
O2-CONTENT CAP. VUMC,,mL/dL,P_O2CO_CAP,P_O2CO_CAP,64799-0,Oxygen content in Capillary blood by calculation,VUMC LAB GLIMS
O2-CONTENT GEM. VEN. VUMC,Bloed,mL/dL,K_O2CO_GEMVEN,K_O2CO_GEMVEN,64798-2,Oxygen content in Mixed venous blood by calculation,VUMC LAB GLIMS
O2-CONTENT GEM. VEN. VUMC,Bloed,mL/dL,P_O2CO_GEMVEN,P_O2CO_GEMVEN,64798-2,Oxygen content in Mixed venous blood by calculation,VUMC LAB GLIMS
O2-CONTENT GEM. VEN. VUMC,,mL/dL,P_O2CO_GEMVEN,P_O2CO_GEMVEN,64798-2,Oxygen content in Mixed venous blood by calculation,VUMC LAB GLIMS
O2-CONTENT VEN. VUMC,Bloed,mL/dL,K_O2CO_VEN,K_O2CO_VEN,60841-4,Oxygen content in Venous blood by calculation,VUMC LAB GLIMS
O2-CONTENT VEN. VUMC,Bloed,mL/dL,P_O2CO_VEN,P_O2CO_VEN,60841-4,Oxygen content in Venous blood by calculation,VUMC LAB GLIMS
O2-CONTENT VEN. VUMC,,mL/dL,P_O2CO_VEN,P_O2CO_VEN,60841-4,Oxygen content in Venous blood by calculation,VUMC LAB GLIMS
PH - BLOEDGAS ART. (AMC),Bloed,,DPH-BL_ART,DPH-BL_ART,2744-1,pH of Arterial blood,AMC LAB LABTRAIN
PH ART. VUMC,Bloed,,K_PH_ART,K_PH_ART,2744-1,pH of Arterial blood,VUMC LAB GLIMS
PH ART. VUMC,,,P_PH_ART,P_PH_ART,2744-1,pH of Arterial blood,VUMC LAB GLIMS
PH POCT,,,P_PH_HB,P_PH_HB,11558-4,pH of Blood,VUMC LAB GLIMS
PH - BLOEDGAS CAP. (AMC),Bloed,,DPH-BL_CAP,DPH-BL_CAP,2745-8,pH of Capillary blood,AMC LAB LABTRAIN
PH - BLOEDGAS GEM. VEN. (AMC),Bloed,,DPH-BL_MVEN,DPH-BL_MVEN,19213-8,pH of Mixed venous blood,AMC LAB LABTRAIN
PH GEM. VEN. VUMC,Bloed,,K_PH_GEMVEN,K_PH_GEMVEN,19213-8,pH of Mixed venous blood,VUMC LAB GLIMS
PH GEM. VEN. VUMC,,,P_PH_GEMVEN,P_PH_GEMVEN,19213-8,pH of Mixed venous blood,VUMC LAB GLIMS
PH,Bloed,,K_PH_HB,K_PH_HB,2753-2,pH of Serum or Plasma,VUMC LAB GLIMS
PH,,,K_PH_HB,K_PH_HB,2753-2,pH of Serum or Plasma,VUMC LAB GLIMS
PH - BLOEDGAS VEN. (AMC),Bloed,,CPH-BL_VEN,CPH-BL_VEN,2746-6,pH of Venous blood,AMC LAB LABTRAIN
PH - DECENTRAAL,Bloed,,DPH-BL,DPH-BL,2746-6,pH of Venous blood,AMC LAB LABTRAIN
PH - BLOEDGAS VEN. (AMC),Bloed,,DPH-BL_VEN,DPH-BL_VEN,2746-6,pH of Venous blood,AMC LAB LABTRAIN
PH VEN. VUMC,Bloed,,K_PH_VEN,K_PH_VEN,2746-6,pH of Venous blood,VUMC LAB GLIMS
PH VEN. VUMC,,,P_PH_VEN,P_PH_VEN,2746-6,pH of Venous blood,VUMC LAB GLIMS
FOSFAAT HOEV (U),Urine,mmol/vzm,FOSH-U,FOSH-U,14881-7,Phosphate [Moles/time] in 24 hour Urine,AMC LAB LABTRAIN
FOSFAAT (URINE VERZAMELD),,mmol/24u,K_PHOS_UV,K_PHOS_UV,14881-7,Phosphate [Moles/time] in 24 hour Urine,VUMC LAB GLIMS
FOSFAAT (URINE),Verzamel Urine,mmol/L,K_PHOS_UR,K_PHOS_UR,25973-9,Phosphate [Moles/volume] in 24 hour Urine,VUMC LAB GLIMS
FOSFAAT (DIALYSAAT),Dialysaat,mmol/L,K_PHOS_DI,K_PHOS_DI,34938-1,Phosphate [Moles/volume] in Dialysis fluid,VUMC LAB GLIMS
FOSFAAT,Bloed,mmol/L,K_PHOS_HP,K_PHOS_HP,14879-1,Phosphate [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
FOSFAAT,,mmol/L,K_PHOS_HP,K_PHOS_HP,14879-1,Phosphate [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
FOSFAAT,Bloed,mmol/L,RFOS-BL,RFOS-BL,14879-1,Phosphate [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
FOSFAAT (URINE),,mmol/L,K_PHOS_UR,K_PHOS_UR,13539-2,Phosphate [Moles/volume] in Urine,VUMC LAB GLIMS
FOSFAAT (URINE),Urine,mmol/L,K_PHOS_UR,K_PHOS_UR,13539-2,Phosphate [Moles/volume] in Urine,VUMC LAB GLIMS
FOSFAAT (U),Urine,mmol/L,UFOS-U,UFOS-U,13539-2,Phosphate [Moles/volume] in Urine,AMC LAB LABTRAIN
Thrombo's,Bloed,,H_ThromKwal_beenmerg_BL,H_ThromKwal_beenmerg_BL,9317-9,Platelet adequacy [Presence] in Blood by Light microscopy,GLIMS
Aantal trombocyten,Bloed,geen,SPLT;BL,SPLT-BL,9317-9,Platelet adequacy [Presence] in Blood by Light microscopy,LABTRAIN
AANTAL TROMBOCYTEN (BLOED) AMC,Bloed,,SPLT-BL,SPLT-BL,9317-9,Platelet adequacy [Presence] in Blood by Light microscopy,AMC LAB LABTRAIN
TROMBOCYTENKLONTJES (HTKL),Bloed,,HTKL-BL,HTKL-BL,7796-6,Platelet clump [Presence] in Blood by Light microscopy,AMC LAB LABTRAIN
Trombocyten (HTRO),Bloed Vragen om afname informatie;Darunavir:,10E9/L,HTRO;BL,HTRO-BL,26515-7,Platelets [#/volume] in Blood,LABTRAIN
Trombocyten (HTRO),Bloed Vragen om afname informatie,10E9/L,HTRO;BL,HTRO-BL,26515-7,Platelets [#/volume] in Blood,LABTRAIN
Aantal trombocyten,Bloed Centraal veneus,geen,SPLT;BL,SPLT-BL,26515-7,Platelets [#/volume] in Blood,LABTRAIN
Trombocyten (HTRO),Bloed,10E9/L,HTRO;BL,HTRO-BL,777-3,Platelets [#/volume] in Blood by Automated count,LABTRAIN
TROMBOCYTEN,,10E9/L,HTRO-BL,HTRO-BL,777-3,Platelets [#/volume] in Blood by Automated count,AMC LAB LABTRAIN
TROMBOCYTEN,Bloed,10E9/L,HTRO-BL,HTRO-BL,777-3,Platelets [#/volume] in Blood by Automated count,AMC LAB LABTRAIN
Thrombo's,Bloed,x10e9/L,K_THR_EB,K_THR_EB,777-3,Platelets [#/volume] in Blood by Automated count,GLIMS
THROMBO'S,Bloed,x10e9/L,K_THR_EB,K_THR_EB,777-3,Platelets [#/volume] in Blood by Automated count,VUMC LAB GLIMS
THROMBO'S,,x10e9/L,K_THR_EB,K_THR_EB,777-3,Platelets [#/volume] in Blood by Automated count,VUMC LAB GLIMS
Thrombo's citr. bloed,Bloed,x10e9/L,K_THRBer_CI,K_THRBer_CI,777-3,Platelets [#/volume] in Blood by Automated count,GLIMS
Trombocyten (HTRO),Bloed Capillair,10E9/L,HTRO;BL,HTRO-BL,74464-9,Platelets [#/volume] in Capillary blood by Manual count,LABTRAIN
Trombocyten (HTRO),Bloed Capillair vinger,10E9/L,HTRO;BL,HTRO-BL,74464-9,Platelets [#/volume] in Capillary blood by Manual count,LABTRAIN
Aantal trombocyten,Bloed Capillair,geen,SPLT;BL,SPLT-BL,74464-9,Platelets [#/volume] in Capillary blood by Manual count,LABTRAIN
Trombo PRP,Bloed,10^9/L,PRPT;BL,PRPT-BL,74775-8,Platelets [#/volume] in Platelet rich plasma by Automated count,LABTRAIN
TROMBO PRP AMC,Bloed,10E9/L,PRPT-BL,PRPT-BL,74775-8,Platelets [#/volume] in Platelet rich plasma by Automated count,AMC LAB LABTRAIN
THROMBOMORFOLOGIE,,,H_ThromKwal_beenmerg_BL,H_ThromKwal_beenmerg_BL,11126-0,Platelets [Morphology] in Bone marrow,VUMC LAB GLIMS
Kalium,Feces,mmol/24u,K_KA_FV,K_KA_FV,6792-6,Potassium [Moles/time] in 24 hour Stool,GLIMS
Kalium,Urine,mmol/24u,K_KA_UV,K_KA_UV,2829-0,Potassium [Moles/time] in 24 hour Urine,GLIMS
Kalium hoev.,Urine Vragen om afname informatie,mmol/vzm,UKALH;U,UKALH-U,2829-0,Potassium [Moles/time] in 24 hour Urine,LABTRAIN
KALIUM (URINE VERZAMELD),,mmol/24u,K_KA_UV,K_KA_UV,2829-0,Potassium [Moles/time] in 24 hour Urine,VUMC LAB GLIMS
KALIUM HOEV (U),Urine,mmol/vzm,KALH-U,KALH-U,2829-0,Potassium [Moles/time] in 24 hour Urine,AMC LAB LABTRAIN
Kalium hoev.,"Urine Vragen om afname informatie;Afnemen in medium,verkrijgbaar op B1-209,tst:62429",mmol/vzm,UKALH;U,UKALH-U,2829-0,Potassium [Moles/time] in 24 hour Urine,LABTRAIN
KALIUM (URINE),Verzamel Urine,mmol/L,K_KA_UR,K_KA_UR,21476-7,Potassium [Moles/volume] in 24 hour Urine,VUMC LAB GLIMS
Kalium de.,Bloed Arterieel,mmol/L,CKAL;BL,CKAL-BL,32713-0,Potassium [Moles/volume] in Arterial blood,LABTRAIN
KALIUM - BLOEDGAS ART. (AMC),Bloed,mmol/L,CKAL-BL_ART,CKAL-BL_ART,32713-0,Potassium [Moles/volume] in Arterial blood,AMC LAB LABTRAIN
Kalium DE.,Bloed Arterieel,mmol/L,DKAL;BL,DKAL-BL,32713-0,Potassium [Moles/volume] in Arterial blood,LABTRAIN
KALIUM - BLOEDGAS ART. (AMC),Bloed,mmol/L,DKAL-BL_ART,DKAL-BL_ART,32713-0,Potassium [Moles/volume] in Arterial blood,AMC LAB LABTRAIN
KALIUM - BLOEDGAS ART. (AMC),,mmol/L,DKAL-BL_ART,DKAL-BL_ART,32713-0,Potassium [Moles/volume] in Arterial blood,AMC LAB LABTRAIN
K (ONV.ISE) ART. VUMC,Bloed,mmol/L,K_KA_ART,K_KA_ART,32713-0,Potassium [Moles/volume] in Arterial blood,VUMC LAB GLIMS
K (ONV.ISE) ART. VUMC,Bloedgas,mmol/L,K_KA_ART,K_KA_ART,32713-0,Potassium [Moles/volume] in Arterial blood,VUMC LAB GLIMS
K (onv.ISE),Bloed Arterieel,mmol/L,K_KA_HB,K_KA_HB,32713-0,Potassium [Moles/volume] in Arterial blood,GLIMS
K (onv.ISE),Bloed Arterieel,mmol/L,P_KA_HB,P_KA_HB,32713-0,Potassium [Moles/volume] in Arterial blood,GLIMS
Kalium (RKAL),Bloed Arterieel,mmol/L,RKAL;BL,RKAL-BL,32713-0,Potassium [Moles/volume] in Arterial blood,LABTRAIN
K (ONV.ISE) ART. VUMC,Bloed,mmol/L,P_KA_ART,P_KA_ART,32713-0,Potassium [Moles/volume] in Arterial blood,VUMC LAB GLIMS
K (ONV.ISE) ART. VUMC,,mmol/L,P_KA_ART,P_KA_ART,32713-0,Potassium [Moles/volume] in Arterial blood,VUMC LAB GLIMS
K (onv.ISE),Bloed arteriel,mmol/L,P_KA_HB,P_KA_HB,32713-0,Potassium [Moles/volume] in Arterial blood,GLIMS
K (onv.ISE),Bloed {<VVE},mmol/L,K_KA_HB,K_KA_HB,6298-4,Potassium [Moles/volume] in Blood,GLIMS
K (onv.ISE),Bloed Onbekend,mmol/L,K_KA_HB,K_KA_HB,6298-4,Potassium [Moles/volume] in Blood,GLIMS
K (onv.ISE),Bloed {<VVE},mmol/L,P_KA_HB,P_KA_HB,6298-4,Potassium [Moles/volume] in Blood,GLIMS
K (onv.ISE),Bloed Onbekend,mmol/L,P_KA_HB,P_KA_HB,6298-4,Potassium [Moles/volume] in Blood,GLIMS
K (ONV.ISE),,mmol/L,K_KA_HB,K_KA_HB,6298-4,Potassium [Moles/volume] in Blood,VUMC LAB GLIMS
K (ONV.ISE) POCT,Bloed,mmol/L,P_KA_HB,P_KA_HB,6298-4,Potassium [Moles/volume] in Blood,VUMC LAB GLIMS
K (ONV.ISE) POCT,,mmol/L,P_KA_HB,P_KA_HB,6298-4,Potassium [Moles/volume] in Blood,VUMC LAB GLIMS
Kalium,Overig,mmol/L,K_KA_OV,K_KA_OV,2821-7,Potassium [Moles/volume] in Body fluid,GLIMS
Kalium (RKAL),Overige,mmol/L,RKAL;O,RKAL-O,2821-7,Potassium [Moles/volume] in Body fluid,LABTRAIN
KALIUM (OVERIG),Overig,mmol/L,K_KA_OV,K_KA_OV,2821-7,Potassium [Moles/volume] in Body fluid,VUMC LAB GLIMS
KALIUM (OVERIG),,mmol/L,K_KA_OV,K_KA_OV,2821-7,Potassium [Moles/volume] in Body fluid,VUMC LAB GLIMS
Kalium de.,Bloed Capillair,mmol/L,CKAL;BL,CKAL-BL,39790-1,Potassium [Moles/volume] in Capillary blood,LABTRAIN
Kalium de.,Bloed Capillair vinger,mmol/L,CKAL;BL,CKAL-BL,39790-1,Potassium [Moles/volume] in Capillary blood,LABTRAIN
Kalium DE.,Bloed Capillair,mmol/L,DKAL;BL,DKAL-BL,39790-1,Potassium [Moles/volume] in Capillary blood,LABTRAIN
KALIUM - BLOEDGAS CAP. (AMC),Bloed,mmol/L,DKAL-BL_CAP,DKAL-BL_CAP,39790-1,Potassium [Moles/volume] in Capillary blood,AMC LAB LABTRAIN
K (onv.ISE),Bloed Capillair,mmol/L,K_KA_HB,K_KA_HB,39790-1,Potassium [Moles/volume] in Capillary blood,GLIMS
K (onv.ISE),Bloed Capillair,mmol/L,P_KA_HB,P_KA_HB,39790-1,Potassium [Moles/volume] in Capillary blood,GLIMS
Kalium (RKAL),Bloed Capillair vinger,mmol/L,RKAL;BL,RKAL-BL,39790-1,Potassium [Moles/volume] in Capillary blood,LABTRAIN
K (ONV.ISE) CAP. VUMC,,mmol/L,P_KA_CAP,P_KA_CAP,39790-1,Potassium [Moles/volume] in Capillary blood,VUMC LAB GLIMS
Kalium (RKAL),Bloed Capillair,mmol/L,RKAL;BL,RKAL-BL,39790-1,Potassium [Moles/volume] in Capillary blood,LABTRAIN
Kalium,Liquor,mmol/L,K_KA_LI,K_KA_LI,2819-1,Potassium [Moles/volume] in Cerebral spinal fluid,GLIMS
Kalium de.,Bloed Mixed Veneus,mmol/L,CKAL;BL,CKAL-BL,41656-0,Potassium [Moles/volume] in Mixed venous blood,LABTRAIN
Kalium DE.,Bloed Mixed Veneus,mmol/L,DKAL;BL,DKAL-BL,41656-0,Potassium [Moles/volume] in Mixed venous blood,LABTRAIN
KALIUM - BLOEDGAS GEM. VEN. (AMC),Bloed,mmol/L,DKAL-BL_MVEN,DKAL-BL_MVEN,41656-0,Potassium [Moles/volume] in Mixed venous blood,AMC LAB LABTRAIN
K (ONV.ISE) GEM. VEN. VUMC,Bloed,mmol/L,K_KA_GEMVEN,K_KA_GEMVEN,41656-0,Potassium [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
K (onv.ISE),Bloed Gemengd veneus,mmol/L,K_KA_HB,K_KA_HB,41656-0,Potassium [Moles/volume] in Mixed venous blood,GLIMS
K (onv.ISE),Bloed gem veneus,mmol/L,P_KA_HB,P_KA_HB,41656-0,Potassium [Moles/volume] in Mixed venous blood,GLIMS
K (onv.ISE),Bloed gem.ven,mmol/L,P_KA_HB,P_KA_HB,41656-0,Potassium [Moles/volume] in Mixed venous blood,GLIMS
K (onv.ISE),Bloed Gemengd veneus,mmol/L,P_KA_HB,P_KA_HB,41656-0,Potassium [Moles/volume] in Mixed venous blood,GLIMS
Kalium (RKAL),Bloed Mixed Veneus,mmol/L,RKAL;BL,RKAL-BL,41656-0,Potassium [Moles/volume] in Mixed venous blood,LABTRAIN
K (ONV.ISE) GEM. VEN. VUMC,Bloed,mmol/L,P_KA_GEMVEN,P_KA_GEMVEN,41656-0,Potassium [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
K (ONV.ISE) GEM. VEN. VUMC,,mmol/L,P_KA_GEMVEN,P_KA_GEMVEN,41656-0,Potassium [Moles/volume] in Mixed venous blood,VUMC LAB GLIMS
K (onv.ISE),Bloed gemend veneus,mmol/L,P_KA_HB,P_KA_HB,41656-0,Potassium [Moles/volume] in Mixed venous blood,GLIMS
KALIUM   CCA,Bloed,mmol/L,CKAL-BL,CKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
Kalium de.,Bloed,mmol/L,CKAL;BL,CKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,LABTRAIN
Kalium DE.,Bloed,mmol/L,DKAL;BL,DKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,LABTRAIN
K (ONV.ISE),Bloed,mmol/L,K_KA_HB,K_KA_HB,2823-3,Potassium [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
K (onv.ISE),Bloed,mmol/L,K_KA_HB,K_KA_HB,2823-3,Potassium [Moles/volume] in Serum or Plasma,GLIMS
K (ONV.ISE),,,K_KA_HB,K_KA_HB,2823-3,Potassium [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
KALIUM,Bloed,mmol/L,K_KA_HP,K_KA_HP,2823-3,Potassium [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
Kalium,Bloed,mmol/L,K_KA_HP,K_KA_HP,2823-3,Potassium [Moles/volume] in Serum or Plasma,GLIMS
KALIUM,,mmol/L,K_KA_HP,K_KA_HP,2823-3,Potassium [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
KALIUM,Bloed,,K_KA_HP,K_KA_HP,2823-3,Potassium [Moles/volume] in Serum or Plasma,VUMC LAB GLIMS
K (onv.ISE),Bloed,mmol/L,P_KA_HB,P_KA_HB,2823-3,Potassium [Moles/volume] in Serum or Plasma,GLIMS
Kalium (RKAL),Bloed,mmol/L,RKAL;BL,RKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,LABTRAIN
Kalium (RKAL),Bloed Vragen om afname informatie,mmol/L,RKAL;BL,RKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,LABTRAIN
KALIUM,Bloed,mmol/L,RKAL-BL,RKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
Kalium (RKAL),Bloed Vragen om afname informatie;Capillair,mmol/L,RKAL;BL,RKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,LABTRAIN
KALIUM,,mmol/L,RKAL-BL,RKAL-BL,2823-3,Potassium [Moles/volume] in Serum or Plasma,AMC LAB LABTRAIN
Kalium,Faeces,mmol/L,FKAL;F,FKAL-F,15202-5,Potassium [Moles/volume] in Stool,LABTRAIN
Kalium,Feces,mmol/L,K_KA_FA,K_KA_FA,15202-5,Potassium [Moles/volume] in Stool,GLIMS
KALIUM (URINE),Bloed,mmol/L,K_KA_UR,K_KA_UR,2828-2,Potassium [Moles/volume] in Urine,VUMC LAB GLIMS
KALIUM (URINE),,mmol/L,K_KA_UR,K_KA_UR,2828-2,Potassium [Moles/volume] in Urine,VUMC LAB GLIMS
KALIUM (URINE),Urine,mmol/L,K_KA_UR,K_KA_UR,2828-2,Potassium [Moles/volume] in Urine,VUMC LAB GLIMS
Kalium,Urine,mmol/L,K_KA_UR,K_KA_UR,2828-2,Potassium [Moles/volume] in Urine,GLIMS
Kalium (U),Urine,mmol/L,UKAL;U,UKAL-U,2828-2,Potassium [Moles/volume] in Urine,LABTRAIN
Kalium (U),Urine Vragen om afname informatie,mmol/L,UKAL;U,UKAL-U,2828-2,Potassium [Moles/volume] in Urine,LABTRAIN
KALIUM (U),Urine,mmol/L,UKAL-U,UKAL-U,2828-2,Potassium [Moles/volume] in Urine,AMC LAB LABTRAIN
Kalium (U),"Urine Vragen om afname informatie;Afnemen in medium,verkrijgbaar op B1-209,tst:62429",mmol/L,UKAL;U,UKAL-U,2828-2,Potassium [Moles/volume] in Urine,LABTRAIN
Kalium de.,Bloed Veneus,mmol/L,CKAL;BL,CKAL-BL,39789-3,Potassium [Moles/volume] in Venous blood,LABTRAIN
KALIUM - BLOEDGAS VEN. (AMC),Bloed,mmol/L,CKAL-BL_VEN,CKAL-BL_VEN,39789-3,Potassium [Moles/volume] in Venous blood,AMC LAB LABTRAIN
Kalium DE.,Bloed Veneus,mmol/L,DKAL;BL,DKAL-BL,39789-3,Potassium [Moles/volume] in Venous blood,LABTRAIN
KALIUM - BLOEDGAS VEN. (AMC),Bloed,mmol/L,DKAL-BL_VEN,DKAL-BL_VEN,39789-3,Potassium [Moles/volume] in Venous blood,AMC LAB LABTRAIN
KALIUM - BLOEDGAS VEN. (AMC),,mmol/L,DKAL-BL_VEN,DKAL-BL_VEN,39789-3,Potassium [Moles/volume] in Venous blood,AMC LAB LABTRAIN
K (onv.ISE),Bloed Veneus,mmol/L,K_KA_HB,K_KA_HB,39789-3,Potassium [Moles/volume] in Venous blood,GLIMS
K (ONV.ISE) VEN. VUMC,Bloed,mmol/L,K_KA_VEN,K_KA_VEN,39789-3,Potassium [Moles/volume] in Venous blood,VUMC LAB GLIMS
K (onv.ISE),Bloed Veneus,mmol/L,P_KA_HB,P_KA_HB,39789-3,Potassium [Moles/volume] in Venous blood,GLIMS
Kalium (RKAL),Bloed Veneus,mmol/L,RKAL;BL,RKAL-BL,39789-3,Potassium [Moles/volume] in Venous blood,LABTRAIN
K (ONV.ISE) VEN. VUMC,Bloed,mmol/L,P_KA_VEN,P_KA_VEN,39789-3,Potassium [Moles/volume] in Venous blood,VUMC LAB GLIMS
K (ONV.ISE) VEN. VUMC,,mmol/L,P_KA_VEN,P_KA_VEN,39789-3,Potassium [Moles/volume] in Venous blood,VUMC LAB GLIMS
Procalcitoni,Bloed,µg/L,CCTP;BL,CCTP-BL,33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,LABTRAIN
Procalcitonine,Bloed,ug/L,K_PCT_HP,K_PCT_HP,33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,GLIMS
Procalcitonine,Bloed,µg/L,PCCT;BL,PCCT-BL,33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,LABTRAIN
PRO - MONOCYTEN % (BEENMERG) AMC,Beenmerg,%,SPMONBMP-BM,SPMONBMP-BM,11122-9,Promonocytes/100 cells in Bone marrow by Manual count,AMC LAB LABTRAIN
TOTAAL EIWIT (URINE VERZAMELD),,g/24u,K_TE_UV,K_TE_UV,2889-4,Protein [Mass/time] in 24 hour Urine,VUMC LAB GLIMS
TOTAAL EIWIT (URINE VERZAMELD),Urine,g/24u,K_TE_UV,K_TE_UV,2889-4,Protein [Mass/time] in 24 hour Urine,VUMC LAB GLIMS
TOT.EIW.HOEV (U),Urine,g/vzm,TOEH-U,TOEH-U,2889-4,Protein [Mass/time] in 24 hour Urine,AMC LAB LABTRAIN
TOT.EIW.HOEV (U),Verzamel Urine,g/vzm,TOEH-U,TOEH-U,2889-4,Protein [Mass/time] in 24 hour Urine,AMC LAB LABTRAIN
TOTAAL EIWIT (URINE),Verzamel Urine,g/L,K_TE_UR,K_TE_UR,21482-5,Protein [Mass/volume] in 24 hour Urine,VUMC LAB GLIMS
TOT.EIWIT (U),Verzamel Urine,g/L,UTE-U,UTE-U,21482-5,Protein [Mass/volume] in 24 hour Urine,AMC LAB LABTRAIN
EIWIT TOTAAL (VOCHT) (AMC),Overig,g/L,RTE-O,RTE-O,2881-1,Protein [Mass/volume] in Body fluid,AMC LAB LABTRAIN
EIWIT MG/L (LIQUOR),Bloed,mg/L,K_CFP_LI,K_CFP_LI,2880-3,Protein [Mass/volume] in Cerebral spinal fluid,VUMC LAB GLIMS
EIWIT MG/L (LIQUOR),Liquor,mg/L,K_CFP_LI,K_CFP_LI,2880-3,Protein [Mass/volume] in Cerebral spinal fluid,VUMC LAB GLIMS
EIWIT MG/L (LIQUOR),,mg/L,K_CFP_LI,K_CFP_LI,2880-3,Protein [Mass/volume] in Cerebral spinal fluid,VUMC LAB GLIMS
EIWIT G/L (LIQUOR),,g/L,K_CFPBer_LI,K_CFPBer_LI,2880-3,Protein [Mass/volume] in Cerebral spinal fluid,VUMC LAB GLIMS
